V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q47,Q35,Q35_TEXT,Q25,Q31,Q32,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q30_7,Q30_8,Q39,Q43,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22_1,Q22_2,Q22_3,Q22_5,Q22_5_TEXT,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_7,Q34_7_TEXT,Q44,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q45,Q21_Tool_Count,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_7_TEXT,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,LocationLatitude,LocationLongitude,LocationAccuracy,
R_Q4EmL4U4DRw6FEd,Default Response Set,Anonymous,,,,1,7/22/16 20:44,7/22/16 20:54,1,1,1,,1,3,2,1,,,1,,,,,1,3,1,38,40,40,39,37,37,39,39,39,1,1,1,,,1,2,3,4,,,,1,1,1,1,,,,,1,16,16,14,16,15,17,17,15,16,16,1,Yada fajnafsdmldadgvsv / sfdmgnb / sfldknkladb,1,6,git diff / sublime / Github Desktop / squash / rebase / log,3,25,24,24,23,23,25,,,3,4,4,4,2,5,2,44.62510681,-123.1309052,-1,
R_1Q3GAZ3MxZ3DJGt,Default Response Set,Anonymous,,,31.10.155.177,0,7/26/16 15:02,7/26/16 15:07,1,1,1,,2,2,2,1,,,,,,,,,2,1,37,38,38,37,37,36,37,37,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,15,16,16,15,17,16,16,14,14,15,,,1,1,diff,2,24,23,22,22,22,25,,,3,2,4,4,4,3,2,47.36669922,8.550003052,-1,
R_2a8kwBUWytXyScs,Default Response Set,Anonymous,,,213.55.184.218,0,7/26/16 15:57,7/26/16 16:06,1,1,1,,3,2,2,1,1,1,1,1,,,1,1,5,1,36,38,39,38,38,36,39,37,38,,,,,,,,,,,,,2,1,,,,,,,1,16,16,17,16,15,15,17,14,13,16,2,,1,4,"textmate, gitup, wercker, sourcetree ",2,26,26,26,25,24,25,,,5,3,4,4,3,4,2,47.14489746,8.155105591,-1,
R_3M5VC8CdvskLXzz,Default Response Set,Anonymous,,,179.98.79.75,0,7/27/16 5:44,7/27/16 5:53,1,1,1,,3,2,5,1,,,,,,,,,2,1,37,39,37,36,37,37,38,39,37,1,,,,,1,1,2,4,,,,3,,,,,,,,1,14,15,14,15,15,15,13,14,15,14,,,1,3,Git and any editor. Usually sublime or eclipse ,1,25,24,24,23,22,22,,,3,2,4,5,4,4,4,-23.47329712,-46.665802,-1,
R_1LUWXDK3sInDNzM,Default Response Set,Anonymous,,,131.107.174.142,0,7/27/16 9:57,7/27/16 10:10,1,1,1,,1,1,2,1,,,,,,,,,2,1,37,39,37,39,37,38,37,38,37,,,1,,,2,,,,1,2,4,1,,,,,,1,"Not having tools that allow me to place my changes on top of other people's changes.Git allows me to rebase my working branches on top of master, thus keeping all my changes grouped and top of the rest of history (which I don't care that much about, as long as it just works or does not conflict with me)",1,15,16,17,14,17,17,16,16,16,15,,,1,3,Beyond Compare / gitk / terminal,4,26,25,24,24,22,26,,,3,3,3,4,5,4,3,47.62010193,-122.1652985,-1,
R_2S8NETv85NgOw5K,Default Response Set,Anonymous,,,208.186.233.100,0,7/27/16 16:28,7/27/16 16:37,1,1,2,,1,1,5,1,,,,,1,QA Engineer,,,2,1,37,38,38,37,39,36,37,39,38,1,1,1,,,1,1,3,4,,,,3,,,,,,,,1,16,17,16,16,17,17,16,16,17,15,,,1,4,"Git, vim, vim-fugative, occasionally turn to GitHub to see actually pull requests if merge conflict is particularly confusing/difficult.",1,26,26,25,25,26,26,,,5,3,2,1,1,3,2,40.65829468,-111.9231033,-1,
R_9tb2iP5ya7JGNLb,Default Response Set,Anonymous,,,107.77.231.72,0,7/27/16 20:21,7/27/16 20:30,1,1,1,,1,2,2,1,1,1,1,1,,,1,1,5,1,39,37,40,37,39,36,40,38,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,16,15,13,15,16,13,15,16,16,17,2,,1,4,"My editor, sometimes source tree, I have used diffmerge before and there is a merge resolution plugin for atom I use sometimes... Typically I just use my editor though... ",3,26,25,24,23,23,25,,,4,4,4,3,2,3,2,34.05439758,-118.2440033,-1,
R_5yUeeJcxLx5MDg9,Default Response Set,Anonymous,,,73.131.198.44,0,7/27/16 21:19,7/27/16 21:26,1,1,2,,1,2,3,1,,,,,,,,,5,1,36,38,39,37,38,37,38,38,40,1,,,,,3,,,,,,,3,,,,,,,,1,14,14,15,16,16,15,16,14,16,14,,,1,1,Eclipse. I suck at knowing what it is trying to tell me. ,2,24,24,23,23,24,23,,,4,5,5,4,3,3,4,40.47740173,-112.0082016,-1,
R_1jD7vEfjliZyPQQ,Default Response Set,Anonymous,,,107.130.190.60,0,7/28/16 17:23,7/28/16 18:05,1,1,1,,6,3,2,1,1,1,1,1,,,1,1,3,1,38,39,39,37,37,36,39,38,40,1,,1,,,2,,,,2,3,4,2,,1,,,,1,"In some cases my 'usual' development practices can be in conflict with someone else's 'usual' practices.  That's why I selected team awareness issues.  I have a habit of making voluminous comments which throws people into a tizzy because it can show interesting variances in git and SVN.  When I explain my purposes (make others aware) it not only makes more sense to others, but can even get them to be more aware of what they're doing.  Good for the team...",1,15,17,17,17,16,15,15,16,17,17,2,,1,1,"git or SVN / communication, communication, communication / some minor before/after testing / peer review when 'personal' conflicts arise / project management review when peer review fails / non-violent communication/ego-less skills / when all else fails, a large caliber handgun.  ;-) / a technique  / ",3,26,25,25,24,23,22,,It's difficult to know exactly what is meant by small/large/simple/complex. Those are objective terms...,4,2,2,4,1,1,2,34.19059753,-118.7637024,-1,
R_DHQv7ZGCeHfLCO5,Default Response Set,Anonymous,,,32.97.110.60,0,7/29/16 11:51,7/29/16 11:56,1,1,1,,6,1,5,1,,,,,1,Concurrency shaman,,,5,1,37,38,39,36,39,37,38,40,39,,,1,,,2,,,,2,3,5,3,,,,,,,,1,16,16,16,15,15,17,15,16,17,16,,,1,2,gitk / git merge display of conflict / Avoid conflicts by making small atomic changes.,2,26,26,24,24,23,25,,,3,2,2,2,2,2,2,32.77870178,-96.82170105,-1,
R_0GJJ7zk7RkIB69P,Default Response Set,Anonymous,,,90.179.77.248,0,7/23/16 1:02,7/23/16 1:03,0,1,1,,1,2,2,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3qfh4Nshxa5ZUTx,Default Response Set,Anonymous,,,73.240.184.165,0,7/23/16 1:07,7/23/16 1:12,0,1,1,,1,2,5,1,,,,,,,,,5,1,38,39,39,39,38,37,39,38,39,,,1,,,2,,,,2,3,4,1,,1,1,1,,,,1,17,16,17,15,17,15,16,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2YhnmA1yl3vm5yB,Default Response Set,Anonymous,,,68.35.14.102,0,7/23/16 5:49,7/23/16 5:52,0,1,1,,1,2,2,1,1,1,,1,,,,,5,1,37,37,37,37,37,37,38,36,38,1,1,,,,2,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1Ige3izQDYi2Zf2,Default Response Set,Anonymous,,,86.166.221.213,0,7/23/16 11:44,7/23/16 11:45,0,1,1,,1,2,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0IJ24Ak8fjYOeqZ,Default Response Set,Anonymous,,,95.220.146.30,0,7/23/16 4:37,7/23/16 13:13,0,1,1,,3,2,2,1,,,,,,,,,5,1,36,38,39,39,39,37,40,39,39,1,,,,,1,2,3,4,,,,3,,,,,,,,1,16,17,17,17,17,17,16,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_Oa2DV7JJJEIGGmB,Default Response Set,Anonymous,,,64.126.61.123,0,7/23/16 15:03,7/23/16 15:05,0,1,1,,2,2,2,1,,,1,,,,,,2,1,39,39,39,37,38,36,37,38,38,,,1,,,1,2,3,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
