Gender,Experience,DevType,TeamSize,Roles,ConflictFreq,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6
Male,1-5 years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, Project Maintainer, DevOps]",Once a week,A moderate amount,A great deal,A great deal,A lot,A little,A little,A lot,A lot,A lot,"[Lines of code, Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Deadlines, Team awareness issues, Project size/scale]",A lot,A lot,A little,A lot,A moderate amount,A great deal,A great deal,A moderate amount,A lot,A lot,Yes,Yada fajnafsdmldadgvsv / sfdmgnb / sfldknkladb,git diff / sublime / Github Desktop / squash / rebase / log,Sometimes,Very effective,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Very effective,,A moderate amount,Very Useful,Very Useful,Very Useful,Slightly Useful,Essential,Slightly Useful
Male,6-10 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a week,A little,A moderate amount,A moderate amount,A little,A little,Not at all,A little,A little,A lot,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],A moderate amount,A lot,A lot,A moderate amount,A great deal,A lot,A lot,A little,A little,A moderate amount,,,diff,Rarely,Moderately effective,Slightly effective,Not effective at all,Not effective at all,Not effective at all,Very effective,,A moderate amount,Slightly Useful,Very Useful,Very Useful,Very Useful,Moderately Useful,Slightly Useful
Male,11-15 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",A few times a month,Not at all,A moderate amount,A lot,A moderate amount,A moderate amount,Not at all,A lot,A little,A moderate amount,[],,,,,,,,Maybe,[Deadlines],A lot,A lot,A great deal,A lot,A moderate amount,A moderate amount,A great deal,A little,Not at all,A lot,No,,"textmate, gitup, wercker, sourcetree",Rarely,Extremely Effective,Extremely Effective,Extremely Effective,Very effective,Moderately effective,Very effective,,Completely,Moderately Useful,Very Useful,Very Useful,Moderately Useful,Very Useful,Slightly Useful
Male,11-15 years,Closed-Source Projects,51+ developers,[Software Engineer/Developer],A few times a week,A little,A lot,A little,Not at all,A little,A little,A moderate amount,A lot,A little,[Lines of code],Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],A little,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,Not at all,A little,A moderate amount,A little,,,Git and any editor. Usually sublime or eclipse,Never,Very effective,Moderately effective,Moderately effective,Slightly effective,Not effective at all,Not effective at all,,A moderate amount,Slightly Useful,Very Useful,Essential,Very Useful,Very Useful,Very Useful
Male,1-5 years,Open-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a week,A little,A lot,A little,A lot,A little,A moderate amount,A little,A moderate amount,A little,[Resolution time],Sometimes,,,,Trivial,Mostly Trivial,Difficult,Yes,[Other],A moderate amount,A lot,A great deal,A little,A great deal,A great deal,A lot,A lot,A lot,A moderate amount,,,Beyond Compare / gitk / terminal,Often,Extremely Effective,Very effective,Moderately effective,Moderately effective,Not effective at all,Extremely Effective,,A moderate amount,Moderately Useful,Moderately Useful,Very Useful,Essential,Very Useful,Moderately Useful
Female,1-5 years,Open-Source Projects,51+ developers,"[Software Engineer/Developer, Other]",A few times a week,A little,A moderate amount,A moderate amount,A little,A lot,Not at all,A little,A lot,A moderate amount,"[Lines of code, Number of files, Resolution time]",Yes,Trivial,Somewhat Difficult,Difficult,,,,No,[],A lot,A great deal,A lot,A lot,A great deal,A great deal,A lot,A lot,A great deal,A moderate amount,,,"Git, vim, vim-fugative, occasionally turn to GitHub to see actually pull requests if merge conflict is particularly confusing/difficult.",Never,Extremely Effective,Extremely Effective,Very effective,Very effective,Extremely Effective,Extremely Effective,,Completely,Moderately Useful,Slightly Useful,Not Useful,Not Useful,Moderately Useful,Slightly Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",A few times a month,A lot,A little,A great deal,A little,A lot,Not at all,A great deal,A moderate amount,A lot,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],A lot,A moderate amount,Not at all,A moderate amount,A lot,Not at all,A moderate amount,A lot,A lot,A great deal,No,,"My editor, sometimes source tree, I have used diffmerge before and there is a merge resolution plugin for atom I use sometimes... Typically I just use my editor though...",Sometimes,Extremely Effective,Very effective,Moderately effective,Slightly effective,Slightly effective,Very effective,,A lot,Very Useful,Very Useful,Moderately Useful,Slightly Useful,Moderately Useful,Slightly Useful
Female,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a month,Not at all,A moderate amount,A lot,A little,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,[Lines of code],No,,,,,,,No,[],A little,A little,A moderate amount,A lot,A lot,A moderate amount,A lot,A little,A lot,A little,,,Eclipse. I suck at knowing what it is trying to tell me.,Rarely,Moderately effective,Moderately effective,Slightly effective,Slightly effective,Moderately effective,Slightly effective,,A lot,Essential,Essential,Very Useful,Moderately Useful,Moderately Useful,Very Useful
Male,26+ years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",Once a week,A moderate amount,A lot,A lot,A little,A little,Not at all,A lot,A moderate amount,A great deal,"[Lines of code, Resolution time]",Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,Maybe,"[Team awareness issues, Other]",A moderate amount,A great deal,A great deal,A great deal,A lot,A moderate amount,A moderate amount,A lot,A great deal,A great deal,No,,"git or SVN / communication, communication, communication / some minor before/after testing / peer review when 'personal' conflicts arise / project management review when peer review fails / non-violent communication/ego-less skills / when all else fails, a large caliber handgun. ;-) / a technique /",Sometimes,Extremely Effective,Very effective,Very effective,Moderately effective,Slightly effective,Not effective at all,,A lot,Slightly Useful,Slightly Useful,Very Useful,Not Useful,Not Useful,Slightly Useful
Male,26+ years,Open-Source Projects,51+ developers,"[Software Engineer/Developer, Other]",A few times a month,A little,A moderate amount,A lot,Not at all,A lot,A little,A moderate amount,A great deal,A lot,[Resolution time],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Not Worth Solving,No,[],A lot,A lot,A lot,A moderate amount,A moderate amount,A great deal,A moderate amount,A lot,A great deal,A lot,,,gitk / git merge display of conflict / Avoid conflicts by making small atomic changes.,Rarely,Extremely Effective,Extremely Effective,Moderately effective,Moderately effective,Slightly effective,Very effective,,A moderate amount,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful,Slightly Useful
